the_geom,district_agency,districts,shape_leng,shape_area,province_territory,status,objectid,cartodb_id,created_at,updated_at
0106000020E61000000100000001030000000100000011000000D0DED0CD1CBD5140D817E38D826F4040CC65F2D3F1B75140C84AA836717040409C63DA59EAAE5140980D016BFB6540403CCC9ECCDCAB514047543928D66B40406C3B79DA45A251406006919C3967404010B1E7D937A1514050A7E63856614040E48AFF3F9B99514038A9FFFF485D4040C4FF2001D8975140981D1EB2925A4040F893C24EAF98514018040F8EFF61404070EBFFFF309A514050E3FFFF526F4040F08F0060519A5140B0820040B86F4040A48D006096A15140C05F0020FB864040C84BFF3FBDAE5140083F00209E8740406454E88AE8B251408814A8EB488C404030AB57B6D6B55140C7BA78516683404078BC709097BA514070CFBD39C3814040D0DED0CD1CBD5140D817E38D826F4040,Bannu,Bannu,2.103026,0.116758,Khyber Pakhtunkhwa,District,67,65,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
0106000020E610000001000000010300000001000000080000004BFDF0D8FA79524050C0F2B5E5CC4040887E88FB8C77524070399627CCCA4040106AC80F136852402053F84030D3404040345ED71B665240C02A132DB4D74040D023F97692645240905B2D6B7DE94040DF2D15C11C6F524048FE5883DDE640408C6D20FC3A7D5240A8637371C8D440404BFDF0D8FA79524050C0F2B5E5CC4040,Sudhnutti,Sudhnutti,1.255622,0.055225,Azad Jammu & Kashmir,District,10,10,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
0106000020E6100000010000000103000000010000001C0000002C733FE5C4D0504040F8B50FFA343F406C05C7F446CE50402FA2E2FEA2083F4030437A9754C45040C0FC744D1FF03E404047E2DD7CBF5040FFEB211826F93E4060ADAF32EBBA504050461696A9EB3E40989CFC3BA6B65040708B0BFF0EF43E40CFD8A8FC62B5504050C6B38244DB3E40C8282EF91CB15040CF1016DABCBF3E40A8D2169755B65040903D40EDD8943E4030608210F4A35040B0796D4436953E40B4DA3FBFA1A4504010742F8B717B3E407060F077D3A05040AFF80F002F463E40F4616B2E82A1504040239D85EA383E40E47373F8F99D5040E0EB4862A2283E40541CEAB5709650403083B157972F3E4048FA63E8598F50409FE9E1640A163E40E4679B394394504050B640192D3E3E409CFB4BE1A996504080A47EA1616D3E40C0D421DDFC915040DF15BC09BC913E403877E799BD985040EF68C83B15EF3E4090BFF2B602A450400FC2E99D49FA3E4094F05603B9AB504071FCCD8518133F4003FD8CE1C9AE5040A0AE68EC66363F40FC558B2206BE5040509F872D07503F402877D07CD8C2504090E7D8AEC74D3F409430F84398C350405F13E1B1173B3F40F0A16964A5CA5040AFE99A064F3E3F402C733FE5C4D0504040F8B50FFA343F40,Killa Abdullah,Killa Abdullah,4.293911,0.436281,Balochistan,District,27,25,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
0106000020E6100000010000000103000000010000000C00000028CAAC9C2B92514048B6AC54D3514040F845E4ECDB965140E00DADD297494040D8BC2E37FF9F5140B86798E0144D4040145DC1BFB1A65140E03713CED03C40404882FF7FEB9E5140C8A9FF9FE24140405CFCFFDF4E935140B02401E098264040F4030080818D514030D2FFDF662840404BD230072986514008893585AB1B404094447A0FC483514018F03120841E4040080090602B8751402019E77A22434040FB6B6E2DC68C5140CF042C352050404028CAAC9C2B92514048B6AC54D3514040,FR Tank,FR Tank,1.812708,0.109204,Federally Administered Tribal Areas,FR,51,49,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
0106000020E61000000100000001030000000100000010000000F81D4A9FFEC35140286C29338FB2404018291857A0C25140009B963C55AE4040B4655D0EEAB95140F8AA46C35AAD4040D47AEA478AB85140C80DCD5279A74040ACCE80DAE1B1514088805DCF49AB40408466523E06B05140F0C73780CD9B40409485E9E91FA8514028BBC9D84FA14040048584039EA25140304ADF4B96AC4040986900A0F19F5140C88C01E003B540401398002036A85140E0BBFF1FF3BC40400CA3FF9F7BAF51402872FFBFF2BD40403855F6260AB051404083E48DD2CA4040C443004089C05140D8AB008039C64040488262CA54C851402839C8A663CC4040DF21840794C95140E06E0ECE19C14040F81D4A9FFEC35140286C29338FB24040,Hangu,Hangu,2.352585,0.133021,Khyber Pakhtunkhwa,District,73,71,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
0106000020E6100000010000000103000000010000000E000000A71FF520AF4A52406032CD1C2CE43F40744A483DB84E5240B0CC75EA7AC93F404440ACD89548524020D1CBD4B7B43F400CB938356F435240702D128FAE963F40D8E7C91797385240C14F997B217E3F407CFFA113F333524000E7EE6F1B603F40287C29FE352D524061281A76715D3F4034049CA7601D5240FF990B9B5D8A3F409CB4B20CCF1B5240A0F081CFA4A93F40DCAE2489CB2352409041B2D1D8C23F4014406416712A5240B07EC4B459C83F40D38708CC4C395240CF6112E6AEDF3F4080DFF610BB3F524000D6D26237F73F40A71FF520AF4A52406032CD1C2CE43F40,Chiniot,Chiniot,2.746435,0.247447,Punjab,District,96,94,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
0106000020E6100000010000000103000000010000000D0000007C5E98C78EA452402F87C1132E583F404F7BD18AE79C52402F498CD5EC593F40C4575302A89B5240006DCC3A004B3F407471EF27BA845240FFE5AAD26E463F4028FBADE4378252403070A93ECC4F3F40083F548D3181524090848E614F5F3F40345BF10996845240F0E6405F765F3F40BC1B3A71B88F5240FF043CF4D6913F40CC4B2379AD925240EFEC3D45FFAA3F4058593548E09952404FF07F8BB4A43F40846CBAD74DA152409F82F05571B73F40C822120008A952402F36C3B7F6763F407C5E98C78EA452402F87C1132E583F40,Lahore,Lahore,2.304896,0.164167,Punjab,District,107,105,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
0106000020E6100000010000000103000000010000000C000000E03D0040C84A5240400DFF1FFAE64040E4F8FF9F1951524060A0FF3F4CE3404038FDFFFF945652407827FF5F82DA4040E8EFFFDFF0525240D04801203BCB40405CE5875BC84C5240C0A4BFD9AEBE4040BF167F15A545524090F9A12704D54040F0480080823A5240EFF800004CC9404020C06CA01634524020B0D190C7D94040981700A0A63A524070E4FFFF5BDD4040E89FFFFFFF475240C070006081E54040C8B0FF1F634852401052016041E64040E03D0040C84A5240400DFF1FFAE64040,Islamabad,Islamabad,1.74531,0.087645,Islamabad Capital Territory,District,65,63,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
0106000020E61000000100000001030000000100000009000000ACC1D1AE45F55140E0D465BBA32E41403470532965FC5140689B15BE041241401CABDB8442F45140509EE01890094140F44AD0BF25EE5140D0F17916E40B41403816FB1865DF514027B85A7E7F1C41405CF3FFFF23E25140A0BCFF1F83274140A090565432ED51401F15BFD32B39414030AB733C66F05140988E456C3E3A4140ACC1D1AE45F55140E0D465BBA32E4140,Charsadda,Charsadda,1.576697,0.097777,Khyber Pakhtunkhwa,District,70,68,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
0106000020E61000000100000001030000000100000012000000544EAC8CFB0C5240F835751CB04141404BB6A0CE4E0E524060C22AD0273A41409014DE2BA81552408809D59633384140400D8EF4C615524047E204B01F384140B431C940651A5240A0CA112B6A344140C462EC4D7D1A5240584F84546C344140E45175117B1B52401850D97AF8304140649EF7328A1B524040736B29CB30414064744E7CA31B5240E8D6E35CB630414078301FE5270D524080331F1E501A4140A8FE9051CB0C524040FD47E3A30B41404C0877E140025240A8D1B3874B0A41403470532965FC5140689B15BE04124140ACC1D1AE45F55140E0D465BBA32E41409C392BE8F6FC5140F03CBBDB2E3841408CEE8C882901524080EC98B0C4434140447AAF4FC705524088FBF1F7193F4140544EAC8CFB0C5240F835751CB0414140,Mardan,Mardan,2.086856,0.160276,Khyber Pakhtunkhwa,District,82,80,2015-07-06 09:49:19.519414+00,2015-07-06 09:49:19.519414+00
